programid,concertnumber,eventtype,location,venue,date,time
13927,1,None,None,None,1600-01-01,
3853,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1842-12-07,20:00
5178,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1843-02-18,20:00
10785,1,Special,"Manhattan, NY",Apollo Rooms,1843-04-07,20:00
5887,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1843-04-22,20:00
305,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1843-11-18,
3368,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1844-01-13,20:00
4226,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1844-03-16,
5087,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1844-05-18,
6310,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1844-11-16,20:00
1979,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1845-01-11,20:00
2821,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1845-03-01,20:00
3259,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1845-04-19,20:00
4919,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1845-11-22,20:00
562,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1846-01-17,20:00
1408,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1846-03-07,20:00
1851,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1846-04-25,20:00
2321,1,Special,"Manhattan, NY",Castle Garden,1846-05-20,
3540,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1846-11-21,20:00
6573,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1847-01-09,20:00
47,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1847-03-06,20:00
450,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1847-04-17,20:00
2178,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1847-11-27,20:00
5195,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1848-01-15,
10581,1,Special,"Manhattan, NY",Castle Garden,1848-02-05,20:00
6064,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1848-03-04,
6493,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1848-04-29,
1171,1,Subscription Season,"Manhattan, NY","Assembly Rooms, Chinese Buildings",1848-12-02,20:00
2607,1,Subscription Season,"Manhattan, NY","Assembly Rooms, Chinese Buildings",1849-01-27,20:00
3931,1,Subscription Season,"Manhattan, NY",Apollo Saloon,1849-03-17,20:00
5300,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1849-05-12,20:00
7278,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1849-11-24,20:00
571,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1850-01-12,20:00
1907,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1850-03-02,20:00
6269,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1850-04-20,20:00
792,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1850-11-23,20:00
1443,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1851-01-11,20:00
2806,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1851-03-01,20:00
7161,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1851-04-26,20:00
1666,1,Subscription Season,"Manhattan, NY",Niblo's Concert Room,1851-11-22,20:00
2377,1,Subscription Season,"Manhattan, NY",Niblo's Concert Room,1852-01-10,20:00
6717,1,Subscription Season,"Manhattan, NY",Niblo's Concert Room,1852-02-28,20:00
682,1,Subscription Season,"Manhattan, NY",Niblo's Concert Room,1852-04-17,20:00
2574,1,Subscription Season,"Manhattan, NY",Niblo's Concert Saloon,1852-11-13,20:00
3266,1,Subscription Season,"Manhattan, NY",Niblo's Concert Saloon,1853-01-15,20:00
4607,1,Subscription Season,"Manhattan, NY",Niblo's Concert Saloon,1853-03-05,20:00
1583,1,Subscription Season,"Manhattan, NY",Niblo's Concert Saloon,1853-04-23,20:00
513,1,Subscription Season,"Manhattan, NY",Metropolitan Hall,1853-11-26,20:00
1191,1,Subscription Season,"Manhattan, NY",Broadway Tabernacle,1854-01-14,20:00
2561,1,Subscription Season,"Manhattan, NY",Broadway Tabernacle,1854-03-04,20:00
6902,1,Subscription Season,"Manhattan, NY",Broadway Tabernacle,1854-04-22,20:00
5792,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1854-12-02,20:00
2149,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1855-01-20,20:00
3474,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1855-03-10,20:00
421,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1855-04-21,20:00
6613,1,Special,"Manhattan, NY",Niblo's Garden,1855-05-19,20:00
2339,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1855-11-24,20:00
3023,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1856-01-12,20:00
4355,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1856-03-01,20:00
1292,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1856-04-19,20:00
3225,1,Subscription Season,"Manhattan, NY",Academy of Music,1856-11-22,20:00
3918,1,Subscription Season,"Manhattan, NY",Academy of Music,1857-01-10,20:00
5264,1,Subscription Season,"Manhattan, NY",Academy of Music,1857-03-07,20:00
2244,1,Subscription Season,"Manhattan, NY",Academy of Music,1857-04-25,20:00
4134,1,Subscription Season,"Manhattan, NY",Academy of Music,1857-11-21,20:00
4814,1,Subscription Season,"Manhattan, NY",Academy of Music,1858-01-09,20:00
6185,1,Subscription Season,"Manhattan, NY",Academy of Music,1858-03-06,20:00
3150,1,Subscription Season,"Manhattan, NY",Academy of Music,1858-04-24,20:00
2117,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1858-11-20,20:00
2785,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1859-01-08,20:00
7145,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1859-02-12,20:00
4122,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1859-03-26,20:00
1083,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1859-04-30,20:00
3007,1,Subscription Season,"Manhattan, NY",Academy of Music,1859-11-19,20:00
3679,1,Subscription Season,"Manhattan, NY",Academy of Music,1860-01-07,20:00
663,1,Subscription Season,"Manhattan, NY",Academy of Music,1860-02-11,20:00
5011,1,Subscription Season,"Manhattan, NY",Academy of Music,1860-03-24,20:00
2014,1,Subscription Season,"Manhattan, NY",Academy of Music,1860-04-28,20:00
3879,1,Subscription Season,"Manhattan, NY",Academy of Music,1860-11-10,20:00
858,1,Subscription Season,"Manhattan, NY",Academy of Music,1860-12-22,20:00
1541,1,Subscription Season,"Manhattan, NY",Academy of Music,1861-02-02,20:00
5937,1,Subscription Season,"Manhattan, NY",Academy of Music,1861-03-16,20:00
2887,1,Subscription Season,"Manhattan, NY",Academy of Music,1861-04-20,20:00
11479,1,Special,"Manhattan, NY",Academy of Music,1861-05-25,19:30
4794,1,Subscription Season,"Manhattan, NY",Irving Hall,1861-11-09,20:00
1738,1,Subscription Season,"Manhattan, NY",Irving Hall,1861-12-21,20:00
2457,1,Subscription Season,"Manhattan, NY",Irving Hall,1862-02-01,
6795,1,Subscription Season,"Manhattan, NY",Irving Hall,1862-03-15,20:00
3788,1,Subscription Season,"Manhattan, NY",Irving Hall,1862-04-26,20:00
2737,1,Subscription Season,"Manhattan, NY",Irving Hall,1862-11-08,20:00
7100,1,Subscription Season,"Manhattan, NY",Irving Hall,1862-12-20,20:00
3446,1,Subscription Season,"Manhattan, NY",Irving Hall,1863-01-31,20:00
4783,1,Subscription Season,"Manhattan, NY",Irving Hall,1863-03-14,20:00
1726,1,Subscription Season,"Manhattan, NY",Irving Hall,1863-04-25,20:00
3648,1,Subscription Season,"Manhattan, NY",Academy of Music,1863-11-07,20:00
618,1,Subscription Season,"Manhattan, NY",Academy of Music,1863-12-19,20:00
